entry,subentry,run,luminosityBlock,event,HLT_Dimuon10_Jpsi,HLT_Dimuon5_PsiPrime,HLT_Dimuon8_Jpsi,HLT_Dimuon9_PsiPrime,HLT_DoubleMu11_Acoplanarity03,HLT_DoubleMu3p5_LowMassNonResonant_Displaced,HLT_DoubleMu3p5_LowMass_Displaced,HLT_DoubleMu4_Acoplanarity03,HLT_DoubleMu5_IsoMu5,HLT_L2DoubleMu23_NoVertex,HLT_L2DoubleMu23_NoVertex_2Cha_Angle2p5,HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5,HLT_Mu13_Mu8,HLT_Mu13_Mu8_NoDZ,HLT_Mu17,HLT_Mu17_Mu8,HLT_Mu17_TkMu8,HLT_Mu17_TkMu8_NoDZ,HLT_Mu22_TkMu22,HLT_Mu22_TkMu8,HLT_Mu8,HLT_TripleMu5,PV_npvs,PV_x,PV_y,PV_z,nMuon,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_tightId,Muon_softId,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,Muon_jetIdx,Muon_genPartIdx
0,0,195397,817,1044388523,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12,0.07110433,0.06485621,-0.6291079,2,10.763697,1.0668273,-0.034272723,0.10565837,-1,0.8938817,1.9791288,True,True,-0.00045122797,0.0022968655,-0.0030117636,0.004487296,-1,-1
0,1,195397,817,1044388523,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12,0.07110433,0.06485621,-0.6291079,2,15.736523,-0.5637865,2.5426154,0.10565837,-1,-999.0,-999.0,False,False,8.9908324e-05,0.0012981534,0.0015885436,0.0025728934,-1,-1
1,0,195397,817,1044431067,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0.07483563,0.06293594,-7.4814014,2,10.53849,-0.42778006,-0.2747921,0.10565837,1,4.0011663,4.4836917,True,True,-0.019440124,0.0024307992,0.002827438,0.0031015263,-1,-1
1,1,195397,817,1044431067,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0.07483563,0.06293594,-7.4814014,2,16.327097,0.34922507,2.5397813,0.10565837,-1,1.0551858,1.0551858,True,True,-0.04111302,0.0014578935,0.020876458,0.003054541,-1,-1
3,0,195397,817,1044443963,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,17,0.06948782,0.06370716,-5.056934,4,11.429154,-1.5882396,-2.0773041,0.10565837,1,1.8363414,2.200472,True,True,0.007862282,0.0028221027,-0.005627297,0.005536843,-1,-1
3,1,195397,817,1044443963,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,17,0.06948782,0.06370716,-5.056934,4,17.634033,-1.7511845,0.25135836,0.10565837,1,0.61512756,0.9456954,True,True,0.0016340229,0.0029880172,-0.0020423464,0.0055909315,-1,-1
3,2,195397,817,1044443963,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,17,0.06948782,0.06370716,-5.056934,4,9.624728,-1.590997,-2.0130494,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
3,3,195397,817,1044443963,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,17,0.06948782,0.06370716,-5.056934,4,3.5022252,-1.6559632,-1.8499726,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
4,0,195397,817,1044504251,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,18,0.0726831,0.06560033,6.210455,4,3.2834418,-2.1724837,-2.3700082,0.10565837,-1,0.295613,0.45777288,False,False,1.7650489,0.08421983,-6.9846926,0.4441442,-1,-1
4,1,195397,817,1044504251,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,18,0.0726831,0.06560033,6.210455,4,3.6440058,-2.182535,-2.305139,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
4,2,195397,817,1044504251,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,18,0.0726831,0.06560033,6.210455,4,32.911224,-1.1233627,-0.9752425,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
4,3,195397,817,1044504251,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,18,0.0726831,0.06560033,6.210455,4,23.721754,-1.1629014,-0.77300525,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
5,0,195397,817,1044533851,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16,0.07024241,0.06598706,9.300999,3,3.566528,-1.371932,-2.909045,0.10565837,-1,8.227514,13.195885,False,True,0.0046779127,0.004377593,-0.007319689,0.00993437,-1,-1
5,1,195397,817,1044533851,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16,0.07024241,0.06598706,9.300999,3,4.572504,-0.7032646,2.455208,0.10565837,1,0.20370223,0.20370223,False,True,-0.0020004704,0.004140478,-0.0011525826,0.0061683976,-1,-1
5,2,195397,817,1044533851,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16,0.07024241,0.06598706,9.300999,3,4.371863,-1.0399996,-3.0593922,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
6,0,195397,817,1044502715,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,17,0.06981587,0.0636838,3.5722578,2,57.6067,-0.5320893,-0.07179804,0.10565837,-1,0.0,0.0,True,True,0.0010628526,0.000983799,-0.0021948817,0.002975599,-1,-1
6,1,195397,817,1044502715,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,17,0.06981587,0.0636838,3.5722578,2,53.04508,-1.0041686,3.0895152,0.10565837,1,0.0,0.007655473,True,True,0.00053517,0.0011219108,0.0024176952,0.003130076,-1,-1
